idx,subset,complete,feasible,cert,boxes,peak_queue,max_depth,dom_excl,unresolved,downgrade,secs
662,"(1, 2, 10, 12, 16)",True,0,0,2445,14,18,0,0,,13.2
663,"(1, 2, 10, 12, 17)",True,0,0,2497,13,15,0,0,,13.5
657,"(1, 2, 10, 11, 19)",True,1,1,5813,17,24,0,0,,38.2
666,"(1, 2, 10, 12, 20)",True,0,0,959,13,19,0,0,,5.1
665,"(1, 2, 10, 12, 19)",True,0,0,1265,12,18,0,0,,6.8
669,"(1, 2, 10, 13, 16)",True,0,0,1599,11,14,0,0,,8.7
671,"(1, 2, 10, 13, 18)",True,0,0,907,9,14,0,0,,4.9
670,"(1, 2, 10, 13, 17)",True,0,0,3389,13,15,0,0,,18.3
668,"(1, 2, 10, 13, 15)",True,0,0,4321,12,18,0,0,,23.5
673,"(1, 2, 10, 13, 20)",True,0,0,609,11,13,0,0,,3.3
667,"(1, 2, 10, 13, 14)",True,0,0,5045,13,18,0,0,,27.4
675,"(1, 2, 10, 14, 16)",True,0,0,2507,13,16,0,0,,13.5
677,"(1, 2, 10, 14, 18)",True,0,0,1285,10,16,0,0,,6.9
676,"(1, 2, 10, 14, 17)",True,0,0,3837,13,15,0,0,,20.7
679,"(1, 2, 10, 14, 20)",True,0,0,1279,14,16,0,0,,6.9
672,"(1, 2, 10, 13, 19)",True,1,1,6519,16,24,0,0,,44.8
680,"(1, 2, 10, 15, 16)",True,0,0,3535,16,19,0,0,,19.1
681,"(1, 2, 10, 15, 17)",True,0,0,3791,12,15,0,0,,20.5
682,"(1, 2, 10, 15, 18)",True,0,0,1885,11,20,0,0,,10.3
684,"(1, 2, 10, 15, 20)",True,0,0,1775,14,18,0,0,,9.6
678,"(1, 2, 10, 14, 19)",True,1,1,7801,19,29,0,0,,53.4
685,"(1, 2, 10, 16, 17)",True,0,0,2713,13,15,0,0,,14.7
686,"(1, 2, 10, 16, 18)",True,1,1,4447,18,36,0,0,,34.9
687,"(1, 2, 10, 16, 19)",True,1,1,4423,16,24,0,0,,29.6
683,"(1, 2, 10, 15, 19)",True,1,1,8263,18,28,0,0,,55.2
689,"(1, 2, 10, 17, 18)",True,0,0,1507,13,15,0,0,,8.1
690,"(1, 2, 10, 17, 19)",True,0,0,2141,11,15,0,0,,11.5
691,"(1, 2, 10, 17, 20)",True,0,0,1071,13,15,0,0,,5.8
674,"(1, 2, 10, 14, 15)",True,0,0,20951,20,24,0,0,,129.2
692,"(1, 2, 10, 18, 19)",True,1,1,2395,17,24,0,0,,16.3
694,"(1, 2, 10, 19, 20)",True,1,1,2941,16,24,0,0,,19.4
693,"(1, 2, 10, 18, 20)",True,1,1,2919,17,30,0,0,,23.2
695,"(1, 2, 11, 12, 13)",True,0,0,1797,13,14,0,0,,9.7
697,"(1, 2, 11, 12, 15)",True,0,0,2321,14,16,0,0,,12.5
696,"(1, 2, 11, 12, 14)",True,0,0,2425,14,15,0,0,,13.0
698,"(1, 2, 11, 12, 16)",True,0,0,2503,15,17,0,0,,13.5
700,"(1, 2, 11, 12, 18)",True,0,0,591,9,14,0,0,,3.1
701,"(1, 2, 11, 12, 19)",True,0,0,611,10,15,0,0,,3.3
702,"(1, 2, 11, 12, 20)",True,0,0,853,15,19,0,0,,4.6
699,"(1, 2, 11, 12, 17)",True,0,0,2831,15,15,0,0,,15.3
688,"(1, 2, 10, 16, 20)",True,1,1,7029,21,35,0,0,,68.8
705,"(1, 2, 11, 13, 16)",True,0,0,1873,13,14,0,0,,10.1
707,"(1, 2, 11, 13, 18)",True,0,0,947,9,18,0,0,,5.0
704,"(1, 2, 11, 13, 15)",True,0,0,4657,13,17,0,0,,25.2
709,"(1, 2, 11, 13, 20)",True,0,0,607,11,13,0,0,,3.2
706,"(1, 2, 11, 13, 17)",True,0,0,3953,13,15,0,0,,21.3
703,"(1, 2, 11, 13, 14)",True,0,0,6141,13,18,0,0,,33.3
708,"(1, 2, 11, 13, 19)",True,0,0,3363,19,24,0,0,,18.2
713,"(1, 2, 11, 14, 18)",True,0,0,877,9,15,0,0,,4.7
711,"(1, 2, 11, 14, 16)",True,0,0,3173,14,17,0,0,,16.9
715,"(1, 2, 11, 14, 20)",True,0,0,1379,14,16,0,0,,7.7
712,"(1, 2, 11, 14, 17)",True,0,0,4813,14,15,0,0,,26.5
716,"(1, 2, 11, 15, 16)",True,0,0,3197,14,18,0,0,,21.1
718,"(1, 2, 11, 15, 18)",True,0,0,705,9,14,0,0,,3.8
717,"(1, 2, 11, 15, 17)",True,0,0,4229,14,15,0,0,,25.1
720,"(1, 2, 11, 15, 20)",True,0,0,1255,14,15,0,0,,6.8
714,"(1, 2, 11, 14, 19)",True,1,1,5955,15,33,0,0,,44.7
722,"(1, 2, 11, 16, 18)",True,0,0,551,9,14,0,0,,2.9
723,"(1, 2, 11, 16, 19)",True,0,0,657,10,15,0,0,,3.5
